domain,ip,ns_record,http_status_code,title_tag
aitnews.com,192.124.249.68,"['lars.ns.cloudflare.com.', 'aria.ns.cloudflare.com.']",403,Sucuri WebSite Firewall - Access Denied
addiwannews.com,195.28.168.114,"['irns2.netafraz.com.', 'irns1.netafraz.com.']",403," 403 Forbidden
"
afaqnews.net,66.29.137.25,"['dns1.namecheaphosting.com.', 'dns2.namecheaphosting.com.']",200,Afaq News – افاق نيوز- الاخبارية
addalinews.com,188.114.96.1,"['val.ns.cloudflare.com.', 'clint.ns.cloudflare.com.']",200,الضالع نيوز - الصفحة الرئيسية
alarrabnews.com,216.144.253.30,"['ns2.uvix10.com.', 'ns1.uvix10.com.']",200,العراب نيوز : أقرأ الخبر على مسؤوليتك
albaladnews.net,51.222.248.193,"['cdns.ovh.net.', 'ns.vertexdns.com.']",200,أخبار البلد
albasrahnews.com,65.108.16.54,"['ns2.albasrahnews.com.', 'ns1.albasrahnews.com.']",200,الرئيسية - وكالة انباء البصرة
albawabhnews.com,188.114.97.1,"['ian.ns.cloudflare.com.', 'emma.ns.cloudflare.com.']",200,البوابة نيوز
alahednews.com.lb,172.67.167.8,"['steven.ns.cloudflare.com.', 'annalise.ns.cloudflare.com.']",200,موقع العهد الإخباري - الصفحة الرئيسة
almalnews.com,188.114.99.233,"['etta.ns.cloudflare.com.', 'ernest.ns.cloudflare.com.']",200,جريدة المال | الرئيسية
almasryanews.org,109.234.161.214,"['ns2.o2switch.net.', 'ns1.o2switch.net.']",200,Almasrya News souhaite صباح الخير - Le site info qui vient de تونس
almashhadnews.com,188.114.96.1,"['cass.ns.cloudflare.com.', 'edward.ns.cloudflare.com.']",200,المشهد اليمني
alwaienews.com,185.154.137.78,"['ns1.o2switch.net.', 'ns2.o2switch.net.']",200,Alwaienews - Calendrier lunaire Ramadan
alraynews.net,176.9.156.213,"['ns3.tarana.sa.', 'ns2.tarana.sa.', 'ns1.tarana.sa.']",200,صحيفة الرأي الإلكترونية
alwakeelnews.com,104.21.35.154,"['cory.ns.cloudflare.com.', 'molly.ns.cloudflare.com.']",200,الرئيسية - الوكيل الاخباري
alwatannews.net,188.114.99.233,"['dana.ns.cloudflare.com.', 'alexis.ns.cloudflare.com.']",200,Home Page - صحيفة الوطن
alyatternews.com,80.96.33.19,"['ns3.spatiul.ro.', 'ns4.spatiul.ro.']",200,الياطر نيوز Alyater News | كل شيء عن شيء وشيء من كل شيء
arabamericannews.com,192.64.78.26,"['ns57.domaincontrol.com.', 'ns58.domaincontrol.com.']",403,403 Forbidden
asianewslb.com,148.66.136.215,"['y.ns.joker.com.', 'z.ns.joker.com.', 'x.ns.joker.com.']",200,وكالة أنباء آسيا
brgnews.com,199.59.243.226,"['ns2.bodis.com.', 'ns1.bodis.com.']",200,
ammonnews.net,69.162.86.46,"['ns1.uvix10.com.', 'ns2.uvix10.com.']",200,وكالة عمون الاخبارية
elyaomnews.com,188.114.97.1,"['damian.ns.cloudflare.com.', 'sonia.ns.cloudflare.com.']",200,اليوم نيوز
felesteen.news,104.21.52.204,"['jimmy.ns.cloudflare.com.', 'lilith.ns.cloudflare.com.']",200,فلسطين أون لاين - آخر أخبار اليوم
fesnews.net,160.153.0.171,"['pdns06.domaincontrol.com.', 'pdns05.domaincontrol.com.']",200,فاس نيوز – موقع الجهة الاخباري  24 ساعة – موقع اخباري لجهة فاس مكناس منكم و اليكم  ننقل الرأي و الرأي الآخر
garaanews.com,188.114.97.1,"['hugh.ns.cloudflare.com.', 'beth.ns.cloudflare.com.']",200,جراءة نيوز | اخبار الاردن اليومية
gerasanews.com,74.63.218.26,"['ns2.uvix10.com.', 'ns1.uvix10.com.']",,
hodnews.com,135.181.131.152,"['adns1.easydns.com.', 'adns2.easydns.com.']",200,الحديدة نيوز
hournews.net,164.68.117.236,"['clever2.albdr-host.com.', 'clever1.albdr-host.com.']",200,اخبار الساعة | الرئيسية
iraq4allnews.dk,188.114.97.1,"['brit.ns.cloudflare.com.', 'drake.ns.cloudflare.com.']",200,Iraq4AllNews – Nyheder og Perspektiver
johinanews.com,51.222.248.193,"['cdns.ovh.net.', 'ns5007733.ip-51-222-248.net.']",200,جهينة نيوز
