domain,http_status_code,title_tag
alwaienews.com,200,Alwaienews - Calendrier lunaire Ramadan
larachenews.com,200,الرئيسية - العرائش نيوز - Larachenews
news33.ma,200,الرئيسية - News33 news33.ma جريدة إلكترونية مغربية شاملة- Journal électronique au Maroc.
qbsnews.com,200,Qbsnews.com Berita Terbaru Hari Ini Paling Update
syriadailynews.com,200,سيريا ديلي نيوز - syriadailynews  
bdnews24us.com,200,bdnews24us.com | 
jvpnews.com,200,"JVP NEWS - Tamil News, Tamil News, Lankasri, Tamil web news, Tamilcnn"
ntnews.com,200,Namasthe Telangana : Telugu News |Telangna news |Latest Telugu News | తెలుగు వార్తలు
urdunewsksa.com,200,URDU NEWS KSA » Urdunewsksa.com - Urdu News Ksa
inews.bg,200,"Новините от България и света, иновации, днес - inews.bg"
pz-news.de,200,PZ-news.de - Nachrichten aus Pforzheim und Enzkreis - Pforzheimer-Zeitung
news.heute.ch,200,news.heute.ch | 22.06. 04:32 Uhr
dnews.gr,200,"
            Dnews.gr Όλες οι ειδήσεις και τα νέα
        "
4bitnews.com,200,"4bitnews.com - technology, internet and lifestyle"
7news.com.au,200,"7NEWS Australia: Latest news, sport, video, entertainment and lifestyle from Australia and the world"
artnews.com,200,ARTnews.com – The Leading Source for Art News & Art Event Coverage
areanews.com.au,200,"Griffith news, sport and weather | The Area News | Griffith, NSW"
bdnews24.com,200,"bdnews24.com - Bangladesh largest news publisher by reach - 24/7, bilingual; content opened to public on 23 Oct 2006 "
banglanews24.com,200,bangla news and entertainment 24x7 - banglanews24.com
begadistrictnews.com.au,200,"Bega news, sport and weather | Bega District News | Bega, NSW"
blastingnews.com,200,Blasting News: breaking news and videos from the world. Experts and live debates.
cambrian-news.co.uk,200,Cambrian News - local news at the heart of the community
cbsnews.com,200,"CBS News - Breaking news, 24/7 live streaming news & top stories"
detroitnews.com,200,Detroit Local News - Michigan News - Breaking News - detroitnews.com
easyreadernews.com,200,"Easy Reader Hermosa Beach News, Manhattan Beach News, Redondo Beach News - Manhattan Beach, Hermosa Beach, Redondo Beach news"
dailynewsview.com,200,"
Daily News | local news, US news, world news and much more!
"
esciencenews.com,200,(e) Science News | Latest science news articles
english.kyodonews.net,200,Kyodo News+ | Japan's leading news agency.
essexlive.news,200,"Essex Live - Latest local news, sport & business from Essex"
fitzrovianews.com,200,"The Fitzrovia News - neighbourhood news, features, and comment"
gulfnews.com,200,"Gulf News: Latest UAE news, Dubai news, Business, travel news, Dubai Gold rate, prayer time, cinema"
hindustannewshub.com,200,Home - hindustannewshub.com
indianewsrepublic.com,200,Indianewsrepublic – Just another WordPress site
inewsource.org,200,inewsource — Investigative journalism for San Diego & Imperial counties
inews.co.uk,200,"inews.co.uk - Latest UK and world news, politics, lifestyle and sport, with analysis and opinion from the i paper. For open minds"
internationalnewsservices.com,200,International news agency
jewishnews.com,200,Jewish News and Israel news – Breaking News – Real Time Jewish News Updates
kentlive.news,200,"Kent Live - Latest local news, sport & business from Kent"
medianews.az,200,Medianews – Onlayn xəbərlər
mercurynews.com,200,"The Mercury News - Bay Area news, sports, business, entertainment, lifestyle and commentary"
mixnews.lv,200,Mixnews – Новости Латвии и мира на русском языке
miragenews.com,200,Australia's 24/7 live news & media portal | Mirage News
naroomanewsonline.com.au,200,"Narooma news, sport and weather | Narooma News | Narooma, NSW"
news-press.com,200,"The News-Press: Fort Myers, Cape Coral, Naples, Bonita Springs news| news-press.com"
news24.com,200,"News24 | South Africa's leading source of trusted news, opinion and insight for 25 years"
newsantaana.com,200,New Santa Ana – Santa Ana's top news & views blog
newsbugz.com,200,"News Bugz - All the latest news and live updates on Indian Movies, Web series, and Shorts. Kollywood, Mollywood, Sandalwood, Bollywood Entertainment, Famous People Biographies, events in India."
newsheads.in,200,"News Heads: Top  News,  Breaking News, Top  Headlines,  Latest News Top  Videos, Top  Photos, on current affairs and more - www.newsheads.in"
newsinenglish.no,200,Home - Norway's News in English — www.newsinenglish.no
newstodaynet.com,200,News Today | First with the news
newsx.com,200,Latest News Today:Breaking News|Entertainment News|Business News|Politics News|Sports News|English news - Newsx 
nownews.com,200,NOWnews今日新聞
osnews.com,200,OSnews  -  Exploring the Future of Computing
readovka.news,200,Readovka.news — новостной портал
sachsenews.com,200,Sachse News | Today's news
siliconhillsnews.com,200,SiliconHills - Technology news about Austin and San Antonio
uktodaynews.com,200,"Latest News, Entertainment, Business, Politics, Blogs | Uktodaynews"
windomnews.com,200,windomnews.com | Trusted local news since 1883
wikinews.org,200,Wikinews
z-news.link,200,z-news.link ⋆ News of the World
zaronews.world,200,Home - Zaronews
mercurynews.com,200,"The Mercury News - Bay Area news, sports, business, entertainment, lifestyle and commentary"
penguin-news.com,200,"Penguin News – The only newspaper produced in the Falkland Islands. Published every Friday, covering current events, job postings, your letters, local sports results, a TV guide, guest columns and much more."
9news.com.au,200,9News - Latest news and headlines from Australia and the world
allthewebnews.com,200,Home - Allthewebnews
bangordailynews.com,200,"Bangor Daily News - Maine news, sports, politics, and obituaries"
couriernews.net,200,couriernews
dailyaccessnews.com,200,"Daily Access News – dailyaccessnews.com is a popular online technology, travel, and lifestyle news magazine."
flashnews.co.in,200,Home - flashnews.co.in
fortheloveofnews.com,200,For the Love of News - Conservative news and opinions
fsunews.com,200,FSView & Florida Flambeau: FSUnews and sports coverage
global247news.com,200,global247news.com
highlandnews.net,200,highlandnews.net
htrnews.com,200,"HTR Media | Manitowoc news, community, entertainment, yellow pages and classifieds. Serving Manitowoc, Wisconsin"
inkfreenews.com,200,"InkFreeNews.com – The most ""Liked"" up-to-the-minute news in Kosciusko County, Indiana"
kchanews.com,200,"KCHA News – Get the latest Charles City, IA local news, weather, sports, events, view daily news weather & sports updates, watch videos & view photos & more!"
lismorecitynews.com.au,200,"Lismore City News, news, sport and weather | Lismore City News | Lismore, New South Wales"
lifelinews.com,200,"Lifelinews | Breaking News in English, Indian News, Latest News India"
marshfieldnewsherald.com,200,"News-Herald Media | Marshfield news, community, entertainment, yellow pages and classifieds. Serving Marshfield, Wisconsin | marshfieldnewsherald.com"
mychinews.com,200,mychinews.com -
news.bahai.org,200,Bahá’í World News Service (BWNS) - Official news source of the worldwide Bahá’í community
news.err.ee,200,news | ERR
palisadesnews.com,200,"Palisades News - Palisades News is the #1 source for local Pacific Palisades news, lifestyle , culture and local advertising, pr and marketing services!"
packersnews.com,200,PackersNews.com -- Green Bay Packers news from on and off the field.
ruidosonews.com,200,"Ruidoso News: Breaking news, Sports, Entertainment, Local Life"
sciencedaily.news,200,ScienceDaily.news - media index of science and technology news
spectatornews.com,200,The Spectator – The official student newspaper of University of Wisconsin-Eau Claire since 1923.
thenews-messenger.com,200,Fremont News-Messenger | thenews-messenger.com
thenewsstar.com,200,"The News Star | www.thenewsstar.com | Monroe, LA"
theroundupnews.com,200,#NAME?
mnews.it,200,Mnews.it
vinnews.com,200,Home - VINnews
washingtonnewsobserver.com,200,washington news – Only the latest news
willitsnews.com,200,"Willitsnews.com covers local news in Willits, California. Keep up with all business, local sports, outdoors, local columnists and more."
infonews.com,200,infonews.com - Noticias de Argentina y el mundo con la mirada del periodismo cooperativo
amazighnews.net,200,Amazighnews - Portail d'actualités amazighes
libnanews.com,200,"Libnanews, le Média citoyen du Liban"
freenews.fr,200,Accueil - Freenews
rssnewsbox.com,200,RSS reader RSSnewsbox feed
lesnewsdunet.com,200,Lesnewsdunet.com - Actualités et infos en France et sur internet
africaleadnews.com,200,Africaleadnews – Site d'informations
factornews.com,200,Factornews - Actualité jeu vidéo PC Consoles Mobile et portable
tahitinews.co,200,Tahitinews.co - L'actualité de Tahiti et ses Îles 21 juin 2024
zeronews-fr.com,200,Zeronews - L'info à ne pas rater
abruzzonews.eu,200,Notizie in Abruzzo - Abruzzonews
algheronewsit.com,200,algheronewsit.com - Panduan Bermain Slot Gacor Terbaik & Berita Terkini di Indonesia
askanews.it,200,"Askanews - Notizie, approfondimenti e news dell'ultima ora di economia, cronaca, politica, cultura, spettacolo e altri temi di attualità"
assinews.it,200,Home ASSINEWS Assinews.it
brevenews.com,200,Home - Brevenews
bergamonews.it,200,"BergamoNews - Bergamonews notizie in tempo reale da tutta Bergamo e provincia: cronaca, politica, eventi, sport ..."
daunianews.it,200,Daunianews – Quotidiano online della Provincia di foggia
