domain,ip
afaqnews.net,66.29.137.25
addalinews.com,188.114.96.1
albaladnews.net,51.222.248.193
albawabhnews.com,188.114.97.1
almalnews.com,188.114.99.233
almashhadnews.com,188.114.96.1
alraynews.net,176.9.156.213
alwatannews.net,188.114.99.233
alyatternews.com,80.96.33.19
asianewslb.com,148.66.136.215
elyaomnews.com,188.114.97.1
fesnews.net,160.153.0.171
garaanews.com,188.114.97.1
iraq4allnews.dk,188.114.97.1
johinanews.com,51.222.248.193
larachenews.com,188.114.97.1
medi1news.com,188.114.99.233
neworientnews.com,144.76.109.81
qbsnews.com,188.114.97.1
q8news.com,188.166.166.113
pal-news.net,104.206.12.153
sahranews.com,15.197.148.33
sabanews.net,188.114.97.1
syriadailynews.com,188.114.97.1
tanjanews.com,85.10.192.167
tishreen.news.sy,212.11.196.181
yafa-news.net,188.114.96.1
3danews.ir,89.32.248.197
janaojananews.net,188.114.96.1
malayalamnewsdaily.com,188.114.97.1
pknewspaper.com,188.114.97.1
urdunewsksa.com,77.37.55.51
7news1.com,93.127.163.201
w3newspapers.com,188.114.99.233
arknews.net,104.21.49.213
alforatnews.iq,188.114.96.1
nabaanews.com,104.21.77.11
news1.dk,195.242.130.99
breaker.news,172.67.163.179
newsoresund.dk,46.16.236.23
kinzig.news,188.114.99.233
news-times.ru,141.8.194.159
news.at,185.51.8.103
nex24.news,82.165.238.135
pz-news.de,213.182.13.45
news.heute.ch,212.243.197.119
dnews.gr,188.114.99.233
documentonews.gr,188.114.99.233
rf-news.de,212.222.128.83
inewsgr.com,188.114.96.1
cbs19news.com,100.25.172.61
mononews.gr,188.114.97.1
news.gr,188.114.99.233
newsbeast.gr,188.114.99.233
15minutenews.com,172.67.223.231
10news.com,3.164.206.49
20minutenews.com,76.223.67.189
4bitnews.com,188.114.96.1
7news.com.au,18.165.140.43
africatimesnews.com,74.50.117.113
amboynews.com,65.61.154.7
allbanglanewspaper.xyz,188.114.97.1
aptnnews.ca,188.114.99.233
asamnews.com,104.21.74.99
asianewstoday.com,172.67.175.241
baigenews.kz,88.204.166.3
bnonews.com,172.67.170.15
bnn-news.com,165.232.117.47
breakingnews.ie,172.67.140.59
cambridge-news.co.uk,52.214.102.229
channeldailynews.com,188.114.96.1
charismanews.com,188.114.99.233
cijnews.com,159.69.186.9
cheknews.ca,188.114.99.233
cultnews.com,5.161.48.153
cultnews.net,5.161.48.153
currentschoolnews.com,172.67.221.201
dailynews.co.th,188.114.99.233
dallascitynews.net,188.114.96.1
dailynewsegypt.com,188.114.99.233
dailynewsview.com,216.239.32.21
esciencenews.com,207.58.177.67
eenews.net,141.193.213.11
einnews.com,173.203.107.239
eturbonews.com,188.114.96.1
english.kyodonews.net,52.40.44.99
foxnews.com,23.212.169.13
fenews.co.uk,188.114.99.233
fox4news.com,2.18.121.19
gulfnews.com,107.154.251.11
hindustannewshub.com,91.108.123.139
goodnewspilipinas.com,198.54.124.113
gardenernews.com,216.58.163.187
